id,status,name,slug,category,subCategory,tags,town,region,address,contactName,phone,whatsapp,email,website,facebook,instagram,openingHours,shortDescription,description,createdAt,approvedAt,approvedBy,shuffleSeed
hehVWxwI4qaBwDMuOU5o,approved,אלון בזז צילום,alvn-bzz-tzylvm-mnqjja68,אירועים וצילום,,,אודם,,מושב אודם צפון רמת הגולן,אלון,542600145,,alonbzz10@gmail.com,https://alonbazaz.myportfolio.com/,https://www.facebook.com/share/18P9x7gEpW/,https://instagram.com/alon_bazaz_photographer,"א-ה, 9:00-18:00",,"צלם אירועים וטבע, סטילס וצילום מגנטים לאירועים, מביא איתי את הזווית שלי, אהבה גדולה לתחום, בעיקר לתעד אירועים משמחים- חתונות, בר/בת מצווה, ימי הולדת אירועי חברה וכו'  מוכר תמונות טבע שלי באיכות פרימיום מאוד מיוחדת, לבית/משרד וכו'...",2026-04-08T21:08:57.061Z,2026-04-08T21:13:15.569Z,sgolan20@gmail.com,207654216
uImi3flfRqRlctMIwfas,approved,בשביל היער,bshbyl-hyar-mnream0c,קורסים וסדנאות,,,אודם,,,מיכל גיגי,050-6894560,,ohadgigi77@gmail.com,https://www.odemforest.com/,https://www.facebook.com/odemforest,https://www.instagram.com/odemforest/,,,"היי😊 אנחנו מיכל ואוהד גיגי, חברת בשביל היער, ממושב אודם בצפון הגולן . יוצרים טיולים וסדנאות עומק המחברות בין מרחב היער לתובנות על החיים, חיבור אנושי והקשבה פנימה דרך חוויה והתנסות. מטיולי עששיות 🔥 ביער אודם ועד הדרכות יום בג׳ובות ומסעות מים בבניאס ובנחלי הגליל העליון , סדנאות Forest Being ביער והתפתחות אישית דרך הטבע. בימים רגילים אנו פעלים בצפון, בימים אלו מסתובבים לארץ להדרכות של סיורי עששיות וסדנאות טבע תרפיה, רק צריכים פינה שקטה בטבע והחוויה והתוכן עלינו. מתאים לקבוצות וצוותים כיום גיבוש , למשפחות, גמלאים ועוד.",2026-04-09T11:30:02.007Z,2026-04-09T11:46:08.732Z,sgolan20@gmail.com,531066922
PCNQ47L7qR96opqIOnaS,approved,אפה - חווית לקוח,aph-chvvyt-lkvch-mnql0fcc,שיווק ועיצוב,,,איילת השחר,,איילת השחר 1,רואי שגב,506883357,,roiiko@gmail.com,https://Appa.co.il,https://www.facebook.com/share/1GQvehtDQf/?mibextid=wwXIfr,https://www.instagram.com/appa.roiko?igsh=MWtub2VhY2Vzenlx&utm_source=qr,10:00-19:00,,"אחרי התבוננות עמוקה במסע הלקוח שלכם נוכל לעצב ולפתח מחדש את מערך המפגשים בין העסק ללקוח. בין המרחבים הפיזיים והדיגיטליים  במטרה לשמור את הלקוחות נאמנים ולהגדיל מכירות. יעוץ או פיתוח לבחירתכם, עובדים דיגיטלי בכל הארץ.",2026-04-08T21:50:16.499Z,2026-04-08T22:03:15.041Z,sgolan20@gmail.com,171650413
SH5TQAShgTZrO2yyXVlL,approved,אודרי חדד - מטפלת רגשית ו- ביופידבק,avdry-chdd-mtplt-rgshyt-v-byvpydbk-mnrjcvv7,טיפולים ובריאות,,,אל-רום,,קיבוץ אל-רום,אודרי חדד,506476848,,,https://myminisite.co.il/audrey-hadad/,https://facebook.com/audreyhadad,https://instagram.com/audreyhadad,לפי תור,,"אודרי חדד פסיכותרפיסטית מטפלת רגשית  CBT קוגניטיבי התנהגותי ו- ביופידבק עם גישה טיפולית של גוף-נפש. מקבלת בקליניקה פרטית באל-רום או און-ליין. טיפול וליווי למבוגרים ומתבגרים להתמודד עם חרדה, דכאון, משברי חיים, בטחון עצמי, פוביה , אינסומניה, תסמינים סומטיים וכאבים כרוניים.",2026-04-09T13:51:44.920Z,2026-04-09T14:12:57.457Z,sgolan20@gmail.com,366520647
k7JZla86m6vvKb9JhMsF,approved,שקט - דרך גוף רגש ורפלקסולוגיה,shkt-drk-gvf-rgsh-vrplksvlvgyh-mnrq88as,טיפולים ובריאות,,,אל-רום,,קיבוץ אל-רום,שני גולדפרב,505401480,505401480,gshanny@gmail.com,https://sheket-elrom.com,https://tinyurl.com/32wbtxku,https://www.instagram.com/sheket_reflexology?utm_source=qr&igsh=YWZ3cmxmYnVnYjdh,בתיאום מראש,,"בוטיק ""שקט"": קליניקה שמביאה איתה טיפול עדין, מדוייק ומקצועי. אווירה שקטה ונעימה. שני מטפלת עם לב פתוח ואמונה בכוח של הגוף להבריא ולהתחבר מחדש לעצמו.  מתי בפעם האחרונה עצרת לנשום באמת?יש עומס שלא תמיד רואים מבחוץ. הוא מתיישב בפנים, בכתפיים, בנשימה. הוא מלווה אותנו בלי שנשים לב. רפלקסולוגיה שמרגיעה את הגוף והראש. טיפול שמשחרר מתחים מהגוף ומהפנים. מחבר ומחזיר תחושת רוגע.",2026-04-09T17:04:04.945Z,2026-04-09T17:21:03.518Z,sgolan20@gmail.com,118521346
xKOstDLjv2oxGj8dW6wk,approved,ליטל פדידה- דיאטנית קלינית,lytl-pdydh-dyatnyt-klynyt-mnrkfbe2,טיפולים ובריאות,,,אל-רום,,"קיבוץ אל-רום, צפון רמת הגולן",ליטל פדידה,503036571,,lital.fadida@mail.huji.ac.il,,https://facebook.com/litalCdietitian,,א'-ה' 9:00-15:00 | ו' 9:00-12:00,,"שירותי דיאטנית לגילאי ההתבגרות ועד לגיל השלישי.  מתמחה ב: * מחלות מעי דלקתיות במערכת העיכול, IBS ועוד * טיפול ואיזון של מצבי סוכרת * השמנה וירידה במשקל * שילוב גופנפש כפרקטיקה תזונתית (עבודה מחשבתית והתנהגותית עם תנודות מצב רוח, רגש פועל יוצא, כמו אכילה רגשית או חוסר תיאבון)  מחכה לכם בקליניקה ומקבלת גם בזום. :)",2026-04-09T14:21:37.695Z,2026-04-09T15:07:18.244Z,sgolan20@gmail.com,542279204
YOmDicQny9VybPdUuI1q,approved,היילנד פורסט צימרים,hyylnd-pvrst-tzymrym-mnrij3pa,תיירות ואירוח,,,אל-רום,,קיבוץ אל-רום,אודרי חדד,508664797,508664797,,,https://www.facebook.com/share/1EBrNyzeb5/?mibextid=wwXIfr,,,,"היילנד פורסט צימרים  - הם צימרים ברמה ומטופחים בצפון רמת הגולן, לזוגות ולמשפחות קטנות שמחפשים אירוח באווירה רגועה ליד הטבע ומלא יקבים באזור.  גישה ליער, למסלולים ולשבילי אופניים, וכ־20 דקות מהחרמון.",2026-04-09T13:28:35.514Z,2026-04-09T14:13:05.564Z,sgolan20@gmail.com,964398637
uOJKQNjT6LnhBRTUmNKx,approved,מורן פטרסון,mvrn-ptrsvn-mnut1tbp,אחר,,,אלי-עד,,מכל מקום,מורן לי פטרסון,535962878,,mojistudio18@gmail.com,,,https://Moji_slow.living.design,,,"מעצבת פנים ומתכננת אדריכלות, וותק 14 שנה בגולן ובגליל, מחכה לעבוד איתכם בכל סוג שת תכנון ועיצוב, משרדים, בתים פרטיים וליווי שיפוצים מורכבים.",2026-04-11T20:46:25.275Z,2026-04-12T08:40:26.268Z,sgolan20@gmail.com,866742123
mLIDsWS1v7sDEzPzm0aG,approved,קסם היער ביריה,ksm-hyar-byryh-mnsfsd4f,תיירות ואירוח,,,ביריה,,ביריה,יהודית אביאלי,523221157,,Netivihagalil@gmail.com,,,,א-ו משעה 9 עד שעה 18,,יש לנו 5 צימרים בישוב ביריה הכוללים ג'קוזי סאונה בריכה פינת מנגל מקורה דונם של דשא וצמחיה המקום מוקף בחורש טבעי יפהפה ופרחים צבעוניים,2026-04-10T04:59:35.024Z,2026-04-10T06:09:17.336Z,sgolan20@gmail.com,148875386
MipYKEXkg2H0oTJBdt55,approved,Tamir Gross ITI,tamir-gross-iti-mnukaqj2,אחר,,,בית הלל,,בית הילל 103,תמיר גרוס,547006608,547006608,Tamirgross@gmail.com,,,https://www.instagram.com/guiaisraeltamirgross?igsh=czJiaG8weGNkNmxz,,,"פתיחת שוק ברזיל ואמריקה הלטינית, מדינות דוברות פורטוגזית וספרדית, עבור  חברות ישראליות",2026-04-11T16:41:22.786Z,2026-04-11T16:54:29.732Z,sgolan20@gmail.com,547234951
xRtylGWLeJBUlYEAjbfC,approved,Ron Nutrition,ron-nutrition-mnr4rtj1,טיפולים ובריאות,,,בית הלל,,התאנה בית הלל,רון לופו,508767914,,lupo.ron@gmail.com,,,https://www.instagram.com/ronlupo_?igsh=MXFpd3NvcGc1aHprNw%3D%3D&utm_source=qr,,,"אני תזונאי קליני עם התמחות בתזונת ספורט, ומלווה מתאמנים וספורטאים בשיפור ביצועים, עלייה במסת שריר, ירידה באחוזי שומן והתאוששות מיטבית מאימונים.  במקביל, אני עובד גם עם כלל האוכלוסייה שמעוניינת לשפר את התזונה, לרדת במשקל ולהרגיש טוב יותר ביום־יום. הגישה שלי פרקטית, גמישה ומותאמת אישית עם דגש על התאמה לשגרת חיים אמיתית, גם בתקופות עמוסות או לא יציבות, כדי לייצר תוצאות שנשמרות לאורך זמן.",2026-04-09T07:03:27.225Z,2026-04-09T07:03:54.592Z,sgolan20@gmail.com,182071338
YAvlORPgkYQ9H3MZ8UGy,approved,סבון צפון,sbvn-tzpvn-mnr6zufb,יופי וטיפוח,,,בית הלל,,"הזיתים, בית הלל",ויקי,508766640,,viktorialomi@gmail.com,,,https://www.instagram.com/sabon_tzafon?igsh=OG56cWhkdHF5djZy,,,"עסק קטן מהצפון המתמחה בייצור סבונים טבעיים בעבודת יד, תוך שימוש בחומרי גלם איכותיים ובתהליכי ייצור מוקפדים. כל סבון נוצר בשילוב בין ידע, דיוק ואסתטיקה, עם השראה מהטבע המקומי – נחלים, צמחייה ונוף צפוני. הקו כולל סבונים יומיומיים, סבוני פילינג וסבונים פעילים (כגון פחם), לצד מארזים ייחודיים המתאימים כמתנה. המוצרים מיועדים לשימוש יומיומי, תוך שמירה על איזון בין חוויית שימוש נעימה לבין רמת גימור גבוהה ומראה מוקפד.",2026-04-09T08:05:40.832Z,2026-04-09T08:53:49.148Z,sgolan20@gmail.com,116815793
0gwcINaqVE0n0HriwOIx,approved,בינגסו אייס בר,byngsv-ayys-br-mnr3lehp,מסעדנות וקייטרינג,,,בית הלל,,"לא, מגיעים לבית הלקוח",גארי רודני,527555405,,garyrudni2@gmail.com,,,https://bingsu.ice.bar,כול שעות היום,,"בינגסו אייס בר, מגישים קינוח קוריאני (ברד) בשם בינגסו בבית הלקוח או אירועים. הקינוח הוא ברד שנוצר במקום אשר מוגש בטעמים שונים יחד עם פירות, קצפות ורטבים.",2026-04-09T06:30:28.935Z,2026-04-09T07:05:19.063Z,sgolan20@gmail.com,159190093
7ayMXZizKHq8FtnKvHsM,approved,איזיריידר בית הלל,ayzyryydr-byt-hll-mnu752gr,ספורט ופנאי,,,בית הלל,,מושב בית הלל המייסדים 28,אמיר הרמן,053-2553360,532553360,,,https://www.facebook.com/share/14a6G3jXqjd/,https://ezraider.beithillel,מהזריחה עד לשקיעה,,"שמי אמיר הרמן אני חקלאי ומתעסק בתיירות, המסלולים שאני עושה הם טיולי שטח לזוגות או קבוצות קטנות לאורך נחל החצבאני .  אורך הטיול הוא שעה וחצי כולל הפסקות שתייה חמה/קרה, נשנושים ורחצה בנחל .  הטיול כולל הדרכות והסברים.",2026-04-11T10:33:03.469Z,2026-04-11T11:02:14.143Z,sgolan20@gmail.com,371161424
tyI93wCs6MgwxgTdhG6Z,approved,כתיבה מְחַברת,ktybh-mchbrt-mnzve5zk,קורסים וסדנאות,,,בית הלל,,,איתי אראלי,052-8480283,052-8480283,itaier@gmail.com,https://morning-sale.page/morningwriting,https://www.facebook.com/connectivwriting?locale=he_IL,https://www.instagram.com/itaierely/,,,סדנאות כתיבה שמחברות אותנו לעצמנו ולאחרים,2026-04-15T09:50:49.238Z,2026-04-15T21:00:24.941Z,sgolan20@gmail.com,275156753
HXQQSPxaOCQbPoAkcTkn,approved,משק 39 בית הלל אירוח כפרי,mshk-39-byt-hll-ayrvch-kpry-mnr43ei0,תיירות ואירוח,,,בית הלל,,המייסדים 39 בית הלל,ג׳ני,548001286,,jbk1286@gmail.com,,,,,,"שלושה בתי אירוח המתאימים לזוגות, משפחות וקבוצות חברים. במקום תיהנו מחצר מרווחת, חנייה נוחה, אזור ייעודי למדורה ומנגל. מהחצר ניתן לצאת להליכה קצרה של כחמש דקות בלבד אל נחל שניר (חצבאני) היפהפה.",2026-04-09T06:44:28.095Z,2026-04-09T07:05:13.988Z,sgolan20@gmail.com,526161219
TVzOfeqAzJLIQGQz4FxD,approved,בקתת העץ של מירה ואמיר בבית הלל,bktt-hatz-shl-myrh-vamyr-bbyt-hll-mnr53y75,תיירות ואירוח,,,בית הלל,,"המייסדים 28,מושב בית הלל.",מירה הרמן,508251990,508251990,miraherman73@gmail.com,,,,8:00-22:00,,בקתת עץ פרטית המתאימה לאירוח זוגות או משפחות עד 6 אנשים. מדובר בבקתה פרטית ויחידה הנמצאת לצד מטע הפקאנים שלנו ובמרחק הליכה מנחל החצבאני. הבקתה מאובזרת היטב ומציעה אירוח מפנק וביתי. זכינו כמארחים מצטיינים מספר פעמים דרך airbnb.,2026-04-09T07:12:53.237Z,2026-04-09T07:25:16.900Z,sgolan20@gmail.com,169657151
